"","county","0","20","40","60","80","100"
"64","California_Sonoma",NA,NA,NA,NA,NA,NA
"65","California_Stanislaus",NA,NA,NA,NA,NA,NA
"66","California_Sutter",NA,NA,NA,NA,NA,NA
"67","California_Tehama",1.223022e+06,1.828587e+06,2.361667e+06,2.641912e+06,2.717665e+06,2.766673e+06
"68","California_Trinity",3.947465e+06,5.902005e+06,7.622593e+06,8.527121e+06,8.771624e+06,8.929805e+06
"69","California_Tulare",5.550346e+05,8.298534e+05,1.071777e+06,1.198959e+06,1.233337e+06,1.255578e+06
"70","California_Tuolumne",1.309033e+06,1.957185e+06,2.527755e+06,2.827708e+06,2.908789e+06,2.961244e+06
"71","California_Ventura",3.862888e+04,5.571846e+04,7.052296e+04,7.403755e+04,7.575908e+04,7.690939e+04
"72","California_Yolo",NA,NA,NA,NA,NA,NA
"73","California_Yuba",1.220403e+05,1.824670e+05,2.356609e+05,2.636254e+05,2.711840e+05,2.760750e+05
"74","Colorado_Adams",NA,NA,NA,NA,NA,NA
"75","Colorado_Alamosa",8.538155e+03,8.979530e+03,9.200556e+03,1.738230e+04,2.874103e+04,4.017740e+04
"76","Colorado_Arapahoe",NA,NA,NA,NA,NA,NA
"77","Colorado_Archuleta",1.204213e+05,1.259927e+05,1.282726e+05,3.315483e+05,5.865981e+05,8.001744e+05
"78","Colorado_Baca",NA,NA,NA,NA,NA,NA
"79","Colorado_Bent",NA,NA,NA,NA,NA,NA
"80","Colorado_Boulder",2.916279e+04,3.024611e+04,4.937133e+04,5.989347e+04,6.356737e+04,6.456002e+04
"81","Colorado_Broomfield",NA,NA,NA,NA,NA,NA
"82","Colorado_Chaffee",8.471626e+04,8.909626e+04,9.128944e+04,3.027522e+05,4.853123e+05,6.606501e+05
"83","Colorado_Cheyenne",NA,NA,NA,NA,NA,NA
"84","Colorado_Clear Creek",2.359636e+05,2.413790e+05,2.457270e+05,2.486034e+05,2.506361e+05,2.534859e+05
"85","Colorado_Conejos",9.458503e+04,9.947539e+04,1.019246e+05,3.395611e+05,5.951976e+05,9.695182e+05
"86","Colorado_Costilla",1.108897e+02,1.150072e+02,5.091512e+02,7.796507e+02,9.737469e+02,1.227699e+03
"87","Colorado_Crowley",NA,NA,NA,NA,NA,NA
"88","Colorado_Custer",3.027165e+04,3.183665e+04,3.262080e+04,9.733216e+04,1.568422e+05,2.313376e+05
"89","Colorado_Delta",6.386986e+04,6.717221e+04,6.882586e+04,1.562654e+05,2.546806e+05,3.527648e+05
"90","Colorado_Denver",NA,NA,NA,NA,NA,NA
"91","Colorado_Dolores",9.336530e+04,9.747974e+04,9.945298e+04,2.588607e+05,4.347509e+05,6.126640e+05
"92","Colorado_Douglas",2.890804e+04,3.913084e+04,4.350696e+04,4.836263e+04,5.632618e+04,6.632799e+04
"93","Colorado_Eagle",5.658469e+05,5.844732e+05,5.961573e+05,6.044547e+05,6.116471e+05,6.166038e+05
"94","Colorado_El Paso",1.607834e+04,1.667561e+04,5.580074e+04,7.258137e+04,8.456930e+04,9.751739e+04
"95","Colorado_Elbert",NA,NA,NA,NA,NA,NA
"96","Colorado_Fremont",1.862870e+04,1.932071e+04,1.150312e+05,1.582048e+05,1.964328e+05,2.315210e+05
"97","Colorado_Garfield",4.328906e+05,4.760276e+05,4.885531e+05,5.044498e+05,5.114997e+05,5.907358e+05
"98","Colorado_Gilpin",2.576548e+04,2.827320e+04,2.992918e+04,3.076543e+04,3.155483e+04,3.381111e+04
"99","Colorado_Grand",8.296427e+05,8.391630e+05,8.486832e+05,8.569525e+05,8.639707e+05,8.709890e+05
"100","Colorado_Gunnison",3.332099e+05,3.504374e+05,3.590660e+05,8.399884e+05,1.217262e+06,1.555535e+06
"101","Colorado_Hinsdale",1.555719e+05,1.636152e+05,1.671220e+05,2.791849e+05,4.921417e+05,7.796190e+05
"102","Colorado_Huerfano",2.605801e+04,2.740534e+04,2.808012e+04,1.012294e+05,2.406967e+05,3.531801e+05
"103","Colorado_Jackson",2.028259e+05,2.291764e+05,2.400750e+05,2.459316e+05,2.581006e+05,6.007760e+05
"104","Colorado_Jefferson",5.181433e+04,5.307688e+04,5.351548e+04,5.421179e+04,5.591432e+04,5.903840e+04
"105","Colorado_Kiowa",NA,NA,NA,NA,NA,NA
"106","Colorado_Kit Carson",NA,NA,NA,NA,NA,NA
"107","Colorado_La Plata",1.125484e+05,1.174703e+05,1.198865e+05,1.869661e+05,2.868803e+05,3.567574e+05
"108","Colorado_Lake",3.016076e+04,3.172018e+04,3.250090e+04,1.318474e+05,2.442868e+05,3.114303e+05
"109","Colorado_Larimer",1.347255e+05,1.397301e+05,3.734969e+05,4.791315e+05,5.249360e+05,5.949864e+05
"110","Colorado_Las Animas",4.102753e+03,4.314842e+03,4.420778e+03,1.526819e+04,2.730545e+04,3.938514e+04
"111","Colorado_Lincoln",NA,NA,NA,NA,NA,NA
"112","Colorado_Logan",NA,NA,NA,NA,NA,NA
"113","Colorado_Mesa",2.423949e+05,2.513992e+05,4.516255e+05,5.091676e+05,5.837345e+05,7.162554e+05
"114","Colorado_Mineral",1.610052e+05,1.693294e+05,1.731881e+05,2.367170e+05,6.265355e+05,8.223707e+05
"115","Colorado_Moffat",2.905191e+04,3.018399e+04,3.066237e+04,3.238605e+04,4.327830e+04,5.411047e+04
"116","Colorado_Montezuma",7.174270e+04,7.442039e+04,2.064118e+05,2.651791e+05,3.140314e+05,3.709828e+05
"117","Colorado_Montrose",7.717606e+04,8.116605e+04,8.316497e+04,2.515309e+05,4.094043e+05,4.481181e+05
"118","Colorado_Morgan",NA,NA,NA,NA,NA,NA
"119","Colorado_Otero",NA,NA,NA,NA,NA,NA
"120","Colorado_Ouray",3.104784e+04,3.246383e+04,3.316581e+04,7.821919e+04,8.146398e+04,9.751537e+04
"121","Colorado_Park",1.125484e+05,1.167293e+05,4.940484e+05,6.122816e+05,7.118676e+05,7.581726e+05
"122","Colorado_Phillips",NA,NA,NA,NA,NA,NA
"123","Colorado_Pitkin",4.646088e+05,4.752717e+05,4.838328e+05,4.894962e+05,4.934984e+05,4.991089e+05
"124","Colorado_Prowers",NA,NA,NA,NA,NA,NA
"125","Colorado_Pueblo",6.098685e+03,6.325235e+03,2.846069e+04,3.539402e+04,4.593545e+04,5.385546e+04
"126","Colorado_Rio Blanco",2.128417e+05,2.766203e+05,3.130318e+05,3.266439e+05,3.321394e+05,3.372639e+05
"127","Colorado_Rio Grande",8.815370e+04,9.271141e+04,9.499429e+04,1.889194e+05,2.893392e+05,3.956063e+05
"128","Colorado_Routt",2.648964e+05,2.940273e+05,3.823328e+05,4.147798e+05,4.266733e+05,4.338833e+05
"129","Colorado_Saguache",2.743299e+05,2.885131e+05,2.956176e+05,1.114525e+06,2.793538e+06,3.129343e+06
"130","Colorado_San Juan",4.923300e+04,5.177853e+04,5.305327e+04,1.052623e+05,1.739696e+05,2.267231e+05
"131","Colorado_San Miguel",7.428933e+04,8.049127e+04,8.205698e+04,8.239738e+04,8.479661e+04,9.241206e+04
"132","Colorado_Sedgwick",NA,NA,NA,NA,NA,NA
"133","Colorado_Summit",4.691551e+05,4.799223e+05,4.885672e+05,4.942861e+05,4.983274e+05,5.039919e+05
"134","Colorado_Teller",1.995933e+04,2.099120e+04,2.150786e+04,5.221006e+04,8.321807e+04,1.090384e+05
"135","Colorado_Washington",NA,NA,NA,NA,NA,NA
"136","Colorado_Weld",NA,NA,NA,NA,NA,NA
"137","Colorado_Yuma",NA,NA,NA,NA,NA,NA
"138","Idaho_Ada",3.456190e+03,3.817448e+03,5.004549e+03,6.812925e+03,7.008435e+03,7.135013e+03
"139","Idaho_Adams",8.040250e+05,8.448117e+05,8.712149e+05,8.893528e+05,9.385058e+05,1.049134e+06
"140","Idaho_Bannock",3.459617e+04,3.573498e+04,3.728068e+04,1.079962e+05,1.669922e+05,2.099001e+05
"141","Idaho_Bear Lake",1.034558e+05,1.088048e+05,1.114842e+05,2.173038e+05,3.526912e+05,5.375810e+05
"142","Idaho_Benewah",7.154641e+04,8.832655e+04,1.220720e+05,1.315240e+05,1.352948e+05,1.377355e+05
"143","Idaho_Bingham",NA,NA,NA,NA,NA,NA
"144","Idaho_Blaine",1.066715e+05,1.121865e+05,1.149488e+05,1.276082e+05,1.446038e+05,1.577478e+05
"145","Idaho_Boise",1.007347e+06,1.430621e+06,1.557962e+06,1.604636e+06,1.635802e+06,1.987778e+06
"146","Idaho_Bonner",9.798626e+05,1.121379e+06,1.434901e+06,1.584639e+06,1.630076e+06,1.659472e+06
"147","Idaho_Bonneville",1.626685e+05,1.710789e+05,1.752914e+05,3.304056e+05,4.780013e+05,5.527410e+05
"148","Idaho_Boundary",1.382319e+06,1.570163e+06,1.618952e+06,1.640621e+06,1.803409e+06,2.638876e+06
"149","Idaho_Butte",3.725741e+04,3.918363e+04,4.014786e+04,1.506430e+05,2.527734e+05,5.090871e+05
"150","Idaho_Camas",7.063385e+04,7.428581e+04,7.611473e+04,1.680588e+05,2.813183e+05,4.623277e+05
"151","Idaho_Canyon",NA,NA,NA,NA,NA,NA
"152","Idaho_Caribou",1.152097e+05,1.209513e+05,1.237648e+05,3.568924e+05,4.483221e+05,5.920889e+05
"153","Idaho_Cassia",8.471626e+04,8.909626e+04,9.128944e+04,2.562939e+05,4.151438e+05,6.664108e+05
"154","Idaho_Clark",1.351957e+05,1.538208e+05,1.586283e+05,1.619306e+05,2.386348e+05,7.246731e+05
"155","Idaho_Clearwater",1.232126e+06,1.336360e+06,1.399913e+06,1.427966e+06,1.446949e+06,1.793027e+06
"156","Idaho_Custer",1.984844e+05,2.087465e+05,2.138863e+05,1.193105e+06,2.214531e+06,3.381510e+06
"157","Idaho_Elmore",9.332719e+05,1.172039e+06,1.205955e+06,1.224631e+06,1.369782e+06,1.803123e+06
