"","county","0","20","40","60","80","100"
"55","California_San Luis Obispo",2.567428e+05,4.139058e+05,4.331266e+05,5.673497e+05,6.617229e+05,1.022851e+06
"56","California_San Mateo",1.363390e+03,2.377807e+03,3.327443e+03,5.528601e+03,1.893637e+04,4.602964e+04
"57","California_Santa Barbara",6.408361e+05,6.986544e+05,8.408843e+05,9.952381e+05,1.094582e+06,1.663395e+06
"58","California_Santa Clara",1.300785e+03,2.682058e+03,3.670814e+03,4.956941e+03,7.680000e+03,2.513235e+04
"59","California_Santa Cruz",1.152369e+01,1.681262e+01,2.210156e+01,2.523982e+01,2.622741e+01,2.721500e+01
"60","California_Shasta",1.203156e+05,1.444788e+05,1.703360e+05,2.654856e+05,4.182975e+05,9.183887e+05
"61","California_Sierra",5.284626e+04,6.076112e+04,7.006178e+04,9.179301e+04,1.107337e+05,1.479401e+05
"62","California_Siskiyou",3.164789e+05,3.666940e+05,4.221609e+05,4.902892e+05,5.527858e+05,8.410430e+05
"63","California_Solano",1.191297e+03,5.512628e+03,6.070362e+03,7.167005e+03,1.094059e+04,1.654811e+04
"64","California_Sonoma",2.939821e+03,3.370451e+03,3.958694e+03,4.481949e+03,6.861018e+03,7.570833e+04
"65","California_Stanislaus",2.581587e+03,4.806872e+03,6.328925e+03,6.516298e+03,7.593663e+03,2.330392e+04
"66","California_Sutter",2.560819e+00,3.907268e+00,5.039815e+00,2.105852e+02,2.130544e+02,2.466091e+02
"67","California_Tehama",5.460179e+04,6.616171e+04,7.725431e+04,9.476685e+04,1.434221e+05,3.816153e+05
"68","California_Trinity",1.892535e+05,2.229487e+05,2.583100e+05,2.993594e+05,3.317620e+05,5.041108e+05
"69","California_Tulare",5.252193e+05,9.723517e+05,1.083214e+06,1.322111e+06,1.649552e+06,2.775633e+06
"70","California_Tuolumne",1.344244e+05,1.776894e+05,2.827446e+05,7.701368e+05,9.954864e+05,1.685997e+06
"71","California_Ventura",5.172907e+05,5.722224e+05,7.074834e+05,8.326717e+05,9.308825e+05,1.339801e+06
"72","California_Yolo",1.924118e+04,2.965146e+04,3.371887e+04,4.275071e+04,4.891097e+04,7.968137e+04
"73","California_Yuba",6.069142e+03,7.299280e+03,8.617383e+03,1.142869e+04,1.545423e+04,5.593463e+04
"74","Colorado_Adams",NA,NA,NA,NA,NA,NA
"75","Colorado_Alamosa",7.023944e+04,8.021620e+04,9.450185e+04,1.048225e+05,1.224754e+05,1.781290e+05
"76","Colorado_Arapahoe",7.811683e+02,1.500391e+03,3.212626e+03,4.305530e+03,6.467332e+03,1.028400e+04
"77","Colorado_Archuleta",1.048235e+05,2.096158e+05,2.599011e+05,3.574258e+05,5.739243e+05,9.798114e+05
"78","Colorado_Baca",3.389556e+04,1.445720e+05,1.820413e+05,2.540361e+05,2.925246e+05,4.548900e+05
"79","Colorado_Bent",2.840155e+03,3.441661e+03,5.096142e+03,1.638889e+04,2.971323e+04,5.005631e+04
"80","Colorado_Boulder",1.238674e+05,1.517452e+05,1.820583e+05,2.176242e+05,2.514141e+05,3.597120e+05
"81","Colorado_Broomfield",NA,NA,NA,NA,NA,NA
"82","Colorado_Chaffee",3.546742e+05,4.598325e+05,5.495777e+05,7.124950e+05,7.955636e+05,1.188110e+06
"83","Colorado_Cheyenne",NA,NA,NA,NA,NA,NA
"84","Colorado_Clear Creek",2.362865e+04,3.608365e+04,9.419887e+04,1.151969e+05,1.752891e+05,2.932157e+05
"85","Colorado_Conejos",2.824735e+05,3.675844e+05,4.481487e+05,5.758694e+05,6.333356e+05,9.659261e+05
"86","Colorado_Costilla",4.562686e+02,4.920194e+02,5.469269e+02,7.740329e+02,1.344595e+03,2.026000e+03
"87","Colorado_Crowley",6.271234e+02,9.459719e+02,2.573231e+03,4.190529e+03,6.501365e+03,9.359944e+03
"88","Colorado_Custer",1.021211e+05,1.136132e+05,1.221519e+05,1.512504e+05,2.503682e+05,3.816670e+05
"89","Colorado_Delta",6.227118e+04,9.185199e+04,1.433416e+05,2.058718e+05,2.457698e+05,5.557475e+05
"90","Colorado_Denver",NA,NA,NA,NA,NA,NA
"91","Colorado_Dolores",5.191293e+04,5.949579e+04,6.959778e+04,8.205217e+04,9.082108e+04,1.378320e+05
"92","Colorado_Douglas",1.195915e+05,1.289902e+05,1.392723e+05,2.083018e+05,2.334200e+05,1.378797e+06
"93","Colorado_Eagle",5.951974e+04,4.139868e+05,5.187927e+05,6.634752e+05,9.438673e+05,1.994115e+06
"94","Colorado_El Paso",7.975729e+04,9.219848e+04,9.958193e+04,1.368563e+05,1.569177e+05,2.316680e+05
"95","Colorado_Elbert",NA,NA,NA,NA,NA,NA
"96","Colorado_Fremont",2.961410e+05,4.427355e+05,5.077217e+05,6.366500e+05,7.166934e+05,1.175566e+06
"97","Colorado_Garfield",2.886491e+05,4.353193e+05,5.235173e+05,6.939625e+05,9.837828e+05,1.808984e+06
"98","Colorado_Gilpin",1.954244e+04,2.731502e+04,3.943523e+04,4.869402e+04,5.601058e+04,8.375298e+04
"99","Colorado_Grand",9.895647e+04,1.190866e+05,1.348925e+05,3.971817e+05,5.364149e+05,9.111713e+05
"100","Colorado_Gunnison",2.004284e+05,2.310134e+05,2.784861e+05,3.510085e+05,4.341234e+05,5.741350e+05
"101","Colorado_Hinsdale",3.190849e+04,3.621452e+04,4.156732e+04,5.139185e+04,8.111653e+04,1.356754e+05
"102","Colorado_Huerfano",2.585809e+04,3.433540e+04,1.720381e+05,2.241300e+05,2.912918e+05,4.321201e+05
"103","Colorado_Jackson",6.357490e+04,7.307598e+04,8.550563e+04,1.014861e+05,1.126140e+05,1.683470e+05
"104","Colorado_Jefferson",6.735033e+04,9.252032e+04,1.076806e+05,1.235828e+05,1.531182e+05,2.312030e+05
"105","Colorado_Kiowa",1.110209e+03,1.341768e+03,1.651416e+03,5.132269e+03,8.861910e+03,2.388461e+04
"106","Colorado_Kit Carson",NA,NA,NA,NA,NA,NA
"107","Colorado_La Plata",5.685809e+04,2.519672e+05,3.872411e+05,5.198185e+05,5.763358e+05,8.997160e+05
"108","Colorado_Lake",1.556363e+05,1.707570e+05,1.981450e+05,2.564296e+05,2.927177e+05,4.326042e+05
"109","Colorado_Larimer",6.123263e+05,7.323141e+05,8.475530e+05,1.056703e+06,1.223804e+06,1.774464e+06
"110","Colorado_Las Animas",1.633805e+04,1.979425e+05,2.770305e+05,3.117321e+05,3.957121e+05,4.861517e+05
"111","Colorado_Lincoln",2.696350e+02,3.215116e+02,4.642140e+02,1.754684e+03,2.701130e+03,4.843000e+03
"112","Colorado_Logan",9.859155e+01,1.305479e+02,2.117653e+02,2.404153e+02,2.612557e+02,2.971611e+02
"113","Colorado_Mesa",5.063061e+05,9.748790e+05,1.201166e+06,1.417341e+06,1.661908e+06,2.437231e+06
"114","Colorado_Mineral",3.632891e+04,4.209687e+04,6.591724e+04,7.951635e+04,9.348129e+04,1.115017e+06
"115","Colorado_Moffat",2.057732e+05,2.409575e+05,2.763829e+05,3.640391e+05,4.858669e+05,7.981420e+05
"116","Colorado_Montezuma",5.804111e+04,7.975329e+04,1.550460e+05,2.602388e+05,4.234368e+05,5.628071e+05
"117","Colorado_Montrose",7.358933e+05,8.399840e+05,9.250111e+05,1.143873e+06,1.396740e+06,2.004017e+06
"118","Colorado_Morgan",4.134403e+02,8.451123e+02,1.046242e+03,1.809671e+03,3.300929e+03,6.826314e+03
"119","Colorado_Otero",9.905999e+04,1.318280e+05,1.622346e+05,1.905083e+05,2.629462e+05,3.889608e+05
"120","Colorado_Ouray",1.186787e+05,1.367097e+05,1.422790e+05,1.854677e+05,2.252509e+05,3.552862e+05
"121","Colorado_Park",2.522636e+05,3.387875e+05,3.710530e+05,4.787125e+05,9.528034e+05,1.439316e+06
"122","Colorado_Phillips",NA,NA,NA,NA,NA,NA
"123","Colorado_Pitkin",1.370623e+05,2.533733e+05,3.512060e+05,5.294294e+05,6.510752e+05,1.220772e+06
"124","Colorado_Prowers",9.218950e+01,1.351987e+02,1.390344e+02,1.400000e+02,1.636068e+02,2.315865e+02
"125","Colorado_Pueblo",4.462229e+04,5.776791e+04,6.184413e+04,7.065601e+04,9.511860e+04,1.438270e+05
"126","Colorado_Rio Blanco",1.842228e+05,2.112375e+05,2.557371e+05,2.938883e+05,3.305823e+05,4.890510e+05
"127","Colorado_Rio Grande",7.217034e+04,2.461118e+05,3.059335e+05,4.314917e+05,4.754639e+05,7.471359e+05
"128","Colorado_Routt",8.332361e+04,1.080800e+05,1.662328e+05,3.132982e+05,5.874947e+05,1.445036e+06
"129","Colorado_Saguache",1.635749e+05,1.974717e+05,2.307403e+05,3.082420e+05,4.423739e+05,7.669160e+05
"130","Colorado_San Juan",2.628325e+04,3.019246e+04,3.961658e+04,4.591437e+04,6.071084e+04,7.459111e+04
"131","Colorado_San Miguel",7.012887e+04,8.173653e+04,1.051492e+05,1.893140e+05,3.448778e+05,8.660223e+05
"132","Colorado_Sedgwick",3.329065e+01,1.306631e+02,1.904538e+02,3.489510e+02,3.881038e+02,4.090000e+02
"133","Colorado_Summit",3.853714e+04,4.923756e+04,1.253651e+05,1.887643e+05,2.856362e+05,4.725895e+05
"134","Colorado_Teller",1.361870e+05,1.480587e+05,1.810494e+05,2.086340e+05,2.409438e+05,3.645500e+05
"135","Colorado_Washington",9.731114e+01,1.581998e+02,1.694914e+02,2.021036e+02,2.564609e+02,2.590000e+02
"136","Colorado_Weld",2.692256e+04,3.320084e+04,4.563567e+04,8.906743e+04,1.265221e+05,2.265798e+05
"137","Colorado_Yuma",9.180538e+02,1.052561e+03,1.233599e+03,1.465268e+03,1.657049e+03,2.438000e+03
"138","Idaho_Ada",1.826273e+05,2.070992e+05,2.416287e+05,3.099409e+05,4.505672e+05,7.045880e+05
"139","Idaho_Adams",6.496441e+04,7.696270e+04,1.129261e+05,1.220224e+05,1.727944e+05,2.641077e+05
"140","Idaho_Bannock",1.892767e+05,2.242086e+05,2.649719e+05,2.943935e+05,3.440303e+05,4.846980e+05
"141","Idaho_Bear Lake",1.993355e+05,2.470477e+05,2.882868e+05,3.594168e+05,3.961376e+05,6.154800e+05
"142","Idaho_Benewah",6.656681e+03,9.028577e+03,1.761707e+04,2.274733e+04,3.392175e+04,7.005572e+04
"143","Idaho_Bingham",2.894122e+05,3.245018e+05,4.015912e+05,4.410293e+05,5.379125e+05,7.053576e+05
"144","Idaho_Blaine",2.826767e+05,5.563178e+05,5.934591e+05,7.015753e+05,1.113359e+06,1.785529e+06
"145","Idaho_Boise",1.071775e+05,1.265937e+05,1.477751e+05,1.838025e+05,2.519384e+05,3.710487e+05
"146","Idaho_Bonner",5.587708e+04,6.976539e+04,8.145920e+04,1.240269e+05,2.505788e+05,5.879517e+05
"147","Idaho_Bonneville",5.155131e+05,5.433332e+05,6.303496e+05,7.933703e+05,8.923124e+05,1.277973e+06
"148","Idaho_Boundary",5.832095e+04,6.833321e+04,8.078313e+04,1.021377e+05,1.587975e+05,5.078827e+05
"149","Idaho_Butte",1.606671e+05,1.852839e+05,2.405224e+05,2.626217e+05,2.917391e+05,4.149420e+05
"150","Idaho_Camas",4.487659e+04,5.190607e+04,6.331053e+04,8.408452e+04,9.489760e+04,1.453390e+05
"151","Idaho_Canyon",1.702385e+04,2.007962e+04,2.226126e+04,2.503663e+04,2.991222e+04,4.524900e+04
"152","Idaho_Caribou",6.872310e+04,1.936536e+05,2.276556e+05,3.454649e+05,4.644725e+05,7.887810e+05
"153","Idaho_Cassia",6.631190e+05,7.534719e+05,9.017391e+05,1.072843e+06,1.226140e+06,1.933661e+06
"154","Idaho_Clark",5.077056e+04,5.424202e+04,6.482848e+04,9.279298e+04,1.047872e+05,1.563421e+05
"155","Idaho_Clearwater",1.026220e+05,1.266155e+05,1.581059e+05,3.080275e+05,3.444598e+05,5.908876e+05
"156","Idaho_Custer",2.576061e+05,2.843253e+05,3.497448e+05,4.226657e+05,4.636490e+05,6.851462e+05
"157","Idaho_Elmore",5.736495e+05,7.852861e+05,9.047880e+05,1.035573e+06,1.450785e+06,2.310119e+06
"158","Idaho_Franklin",1.003935e+05,1.171235e+05,1.445676e+05,1.684691e+05,1.878559e+05,2.834700e+05
"159","Idaho_Fremont",2.967582e+05,4.460905e+05,4.903423e+05,5.662051e+05,7.063072e+05,1.158748e+06
"160","Idaho_Gem",1.654111e+04,1.043437e+05,1.488077e+05,1.563357e+05,1.690158e+05,2.529170e+05
"161","Idaho_Gooding",2.181467e+05,2.441008e+05,3.203341e+05,3.538720e+05,4.495170e+05,5.955779e+05
"162","Idaho_Idaho",5.531021e+05,6.029198e+05,7.423090e+05,8.761813e+05,9.663216e+05,1.483582e+06
"163","Idaho_Jefferson",1.724234e+05,1.953820e+05,2.311703e+05,2.670048e+05,2.980755e+05,4.462577e+05
"164","Idaho_Jerome",8.866354e+04,1.016370e+05,1.156681e+05,1.356529e+05,1.511338e+05,2.297381e+05
"165","Idaho_Kootenai",5.414026e+04,2.336799e+05,2.729543e+05,3.102591e+05,3.725171e+05,5.731061e+05
"166","Idaho_Latah",2.345920e+04,1.012691e+05,1.164658e+05,1.310023e+05,1.400112e+05,2.270441e+05
"167","Idaho_Lemhi",3.258489e+05,3.737721e+05,4.376771e+05,5.453082e+05,5.732050e+05,8.648580e+05
"168","Idaho_Lewis",7.114202e+03,7.567613e+03,8.292928e+03,9.639700e+03,1.203977e+04,1.488989e+04
"169","Idaho_Lincoln",2.178806e+05,2.367597e+05,3.026060e+05,3.677046e+05,4.438524e+05,7.904552e+05
"170","Idaho_Madison",2.091385e+04,5.042705e+04,5.989140e+04,6.538824e+04,8.702545e+04,1.365260e+05
"171","Idaho_Minidoka",1.604915e+05,1.798066e+05,2.149225e+05,2.491348e+05,2.851990e+05,4.248044e+05
"172","Idaho_Nez Perce",2.037373e+04,2.484040e+04,3.023335e+04,3.569153e+04,5.321877e+04,7.272100e+04
"173","Idaho_Oneida",2.049178e+05,2.357668e+05,2.474280e+05,3.385754e+05,4.144703e+05,6.266340e+05
"174","Idaho_Owyhee",4.286749e+05,4.640686e+05,5.589808e+05,6.851810e+05,7.865476e+05,1.194780e+06
"175","Idaho_Payette",6.075500e+04,6.842372e+04,7.501315e+04,9.407457e+04,1.040731e+05,1.529380e+05
"176","Idaho_Power",2.658335e+05,2.994364e+05,3.513893e+05,4.149386e+05,4.660871e+05,6.953833e+05
"177","Idaho_Shoshone",1.468915e+05,1.728818e+05,2.015839e+05,2.521996e+05,3.246808e+05,4.003350e+05
"178","Idaho_Teton",6.145385e+04,8.228443e+04,9.546975e+04,1.158486e+05,1.315165e+05,2.021540e+05
"179","Idaho_Twin Falls",5.883430e+05,6.652910e+05,7.781125e+05,9.228399e+05,1.046628e+06,1.511665e+06
"180","Idaho_Valley",2.505957e+05,2.883044e+05,3.382023e+05,4.013165e+05,4.452536e+05,6.685250e+05
"181","Idaho_Washington",1.668156e+05,2.737445e+05,3.782883e+05,4.241505e+05,4.661843e+05,7.611124e+05
"182","Montana_Beaverhead",2.900566e+05,3.463908e+05,3.797423e+05,5.195247e+05,5.932956e+05,8.988230e+05
"183","Montana_Big Horn",8.538114e+03,1.347660e+04,3.824141e+04,4.276821e+04,4.895337e+04,8.148775e+04
"184","Montana_Blaine",2.731485e+05,3.139399e+05,3.464183e+05,3.947545e+05,5.353801e+05,7.665689e+05
"185","Montana_Broadwater",1.601600e+05,2.132818e+05,2.581260e+05,3.553468e+05,4.003509e+05,5.919010e+05
"186","Montana_Carbon",3.924324e+05,4.295138e+05,5.212952e+05,5.842133e+05,7.040939e+05,8.160223e+05
"187","Montana_Carter",7.731698e+04,8.653238e+04,1.206594e+05,1.275686e+05,1.779483e+05,2.030809e+05
"188","Montana_Cascade",5.348368e+04,1.918971e+05,2.512662e+05,2.759789e+05,3.178265e+05,6.479755e+05
"189","Montana_Chouteau",1.381319e+05,1.520965e+05,1.852375e+05,2.032722e+05,2.383493e+05,3.263984e+05
"190","Montana_Custer",3.048581e+05,3.360090e+05,3.904519e+05,4.664140e+05,5.151587e+05,7.746081e+05
"191","Montana_Daniels",6.450963e+01,1.814656e+02,1.962146e+02,2.374374e+02,2.686140e+02,6.544118e+02
"192","Montana_Dawson",1.103169e+04,2.078165e+04,6.208659e+04,7.234055e+04,8.453607e+04,2.169020e+05
"193","Montana_Deer Lodge",1.475564e+05,1.675762e+05,2.010182e+05,2.467946e+05,3.058713e+05,4.735860e+05
